Output the year from these Chinese reign year information. Don't use any knowledge beyond the information in the table below. There is not typos in the questions.
慶曆二年
應順元年
崇寧四年
景祐二年
建中靖國元年
顯德元年
同光四年
顯德四年
元豐三年
紹聖四年
太平興國八年
景祐二年
元豐元年
太平興國三年
乾德元年


The output should be a table like this:
| input | output |
| -- | -- | 

This is the table for your conversion


c_dynasty_chn	c_nianhao_chn	c_firstyear	c_lastyear
隋	大業	605	617
隋	義寧	617	618
唐	武德	618	626
鄭（王世充）	開明	619	621
唐	貞觀	627	649
唐	永徽	650	656
唐	顯慶	656	661
唐	龍朔	661	663
唐	麟德	664	666
唐	乾封	666	668
唐	總章	668	670
唐	咸亨	670	674
唐	上元	674	676
唐	儀鳳	676	679
唐	調露	679	680
唐	永隆	680	681
唐	開耀	681	682
唐	永淳	682	683
唐	弘道	683	684
唐	嗣聖	684	684
周	文明	684	684
周	光宅	684	684
周	垂拱	685	688
周	永昌	689	690
周	載初	690	690
周	天授	690	692
周	如意	692	692
周	長壽	692	694
周	延載	694	694
周	證聖	695	695
周	天冊萬歲	695	695
周	萬歲登封	696	696
周	萬歲通天	696	697
周	神功	697	697
周	聖曆	698	700
周	久視	700	700
周	大足	701	701
周	長安	701	705
唐	神龍	705	707
唐	景龍	707	710
唐	唐隆	710	710
唐	景雲	710	711
唐	太極	712	712
唐	延和	712	712
唐	先天	712	713
唐	開元	713	741
唐	天寶	742	756
唐	至德	756	758
唐	乾元	758	760
唐	上元	760	762
唐	寶應	762	763
唐	廣德	763	764
唐	永泰	765	766
唐	大曆	766	779
唐	建中	780	783
唐	興元	784	784
唐	貞元	785	805
唐	永貞	805	805
唐	元和	806	820
唐	長慶	821	824
唐	寶曆	825	827
唐	大和	827	835
唐	開成	836	840
唐	會昌	841	846
唐	大中	847	860
唐	咸通	860	874
唐	乾符	874	879
唐	廣明	880	881
唐	中和	881	885
唐	光啟	885	888
唐	文德	888	888
唐	龍紀	889	889
唐	大順	890	891
唐	景福	892	893
唐	乾寧	894	898
唐	光化	898	901
唐	天復	901	904
唐	天祐	904	907
五代後梁	開平	907	911
前蜀	武成	908	910
吳越	天寶	908	911
五代後梁	乾化	911	915
前蜀	永平	911	915
五代後梁	貞明	915	921
前蜀	通正	916	917
遼	神冊	916	921
前蜀	天漢	917	918
南漢	乾亨	917	924
前蜀	光大	918	919
前蜀	光天(光大)	918	919
前蜀	廣大(光大)	918	919
吳	武義	919	920
前蜀	乾德	919	924
五代後梁	龍德	921	923
吳	順義	921	926
遼	天贊	922	926
五代後唐	同光	923	926
吳越	寶大	924	925
吳越	寶太(寶大)	924	925
前蜀	咸康	925	925
南漢	白龍	925	927
五代後唐	天成	926	930
吳越	寶正	926	931
吳越	寶貞(寶正)	926	931
吳越	保貞(寶正)	926	931
遼	天顯	926	938
吳	乾貞	927	927
吳	乾正	927	928
南漢	大有	928	941
吳	太和	929	934
五代後唐	長興	930	933
閩	龍啟	933	934
五代後唐	應順	934	934
五代後唐	清泰	934	936
後蜀	明德	934	937
吳	天祚	935	937
閩	永和	935	936
五代後晉	天福	936	944
閩	通文	936	938
南唐	昇元	937	942
後蜀	廣政	938	965
遼	會同	938	947
閩	永隆	939	942
南漢	光天	942	943
閩	天德	943	945
南漢	應乾	943	943
南漢	乾和	943	957
南唐	保大	943	957
五代後晉	開運	944	946
五代後漢	天福	947	947
遼	大同	947	947
遼	天祿	947	951
五代後漢	乾祐	948	950
五代後周	廣順	951	954
遼	應曆	951	969
五代後周	顯德	954	959
北漢	天會	957	973
南漢	大寶	958	971
南唐	中興	958	958
南唐	交泰	958	960
北宋	建隆	960	963
北宋	乾德	963	968
北宋	開寶	968	976
遼	保寧	969	979
北漢	廣運	974	979
北宋	太平興國	976	984
遼	乾亨	979	982
遼	統和	983	1012
北宋	雍熙	984	987
北宋	端拱	988	989
北宋	淳化	990	994
北宋	至道	995	997
北宋	咸平	998	1003
北宋	景德	1004	1007
北宋	大中祥符	1008	1016
遼	開泰	1012	1021
北宋	天禧	1017	1021
遼	太平	1021	1030
北宋	乾興	1022	1022
北宋	天聖	1023	1032
遼	景福	1031	1031
遼	重熙	1032	1055
北宋	明道	1032	1033
西夏	顯道	1032	1033
北宋	景祐	1034	1038
西夏	開運	1034	1034
西夏	廣運	1034	1035
西夏	大慶	1036	1037
北宋	寶元	1038	1040
西夏	天授禮法延祚	1038	1048
北宋	康定	1040	1041
北宋	慶曆	1041	1048
北宋	皇祐	1049	1054
西夏	延嗣寧國	1049	1049
西夏	天祐垂聖	1050	1052
西夏	福聖承道	1053	1056
北宋	至和	1054	1056
遼	清寧	1055	1064
北宋	嘉祐	1056	1063
西夏	奲都	1057	1062
西夏	拱化	1063	1068
北宋	治平	1064	1067
遼	咸雍	1065	1074
北宋	熙寧	1068	1077
西夏	乾道	1069	1070
西夏	天賜禮盛國慶	1071	1075
遼	太康	1075	1084
西夏	大安	1076	1085
北宋	元豐	1078	1085
遼	大安	1085	1094
北宋	元祐	1086	1094
西夏	天安禮定	1086	1086
西夏	天儀治平	1087	1089
西夏	天祐民安	1090	1098
北宋	紹聖	1094	1098
遼	壽昌	1095	1100
北宋	元符	1098	1100
西夏	永安	1099	1101
遼	乾統	1101	1110
北宋	建中靖國	1101	1101
北宋	崇寧	1102	1106
西夏	貞觀	1102	1114
北宋	大觀	1107	1110
遼	天慶	1111	1120
北宋	政和	1111	1118
西夏	雍寧	1115	1119
金	收國	1115	1116
金	天輔	1117	1122
北宋	重和	1118	1119
北宋	宣和	1119	1125
西夏	元德	1120	1126
遼	保大	1121	1125
金	天會	1123	1137
北宋	靖康	1126	1127
南宋	建炎	1127	1130
西夏	正德	1127	1134
南宋	紹興	1131	1162
偽齊	阜昌	1131	1138
西遼	延慶	1132	1134
西遼	康國	1134	1143
西夏	大德	1135	1138
金	天眷	1138	1140
西夏	大慶	1139	1143
金	皇統	1141	1149
西夏	人慶	1144	1148
西遼	咸清	1144	1150
西夏	天盛	1149	1170
金	天德	1149	1153
西遼	紹興	1150	1163
金	貞元	1153	1155
金	正隆	1156	1161
金	大定	1161	1189
南宋	隆興	1163	1164
西遼	崇福	1164	1178
南宋	乾道	1165	1173
西夏	乾祐	1171	1193
南宋	淳熙	1174	1189
西遼	天禧	1178	1218
南宋	紹熙	1190	1194
金	明昌	1190	1196
西夏	天慶	1194	1205
南宋	慶元	1195	1200
金	承安	1196	1200
南宋	嘉泰	1201	1204
金	泰和	1201	1208
南宋	開禧	1205	1207
西夏	應天	1206	1209
蒙古元	太祖	1206	1227
南宋	嘉定	1208	1224
金	大安	1209	1211
西夏	皇建	1210	1210
西夏	光定	1211	1222
金	崇慶	1212	1212
金	至寧	1213	1213
金	貞祐	1213	1217
金	興定	1217	1222
金	元光	1222	1223
西夏	乾定	1223	1225
金	正大	1224	1231
南宋	寶慶	1225	1227
西夏	寶義	1226	1227
南宋	紹定	1228	1233
蒙古元	太宗	1229	1241
金	開興	1232	1232
金	天興	1232	1234
南宋	端平	1234	1236
南宋	嘉熙	1237	1240
南宋	淳祐	1241	1252
蒙古元	乃馬真后	1242	1245
蒙古元	定宗	1246	1248
蒙古元	海迷失后	1249	1250
蒙古元	憲宗	1251	1259
南宋	寶祐	1253	1258
南宋	開慶	1259	1259
南宋	景定	1260	1264
元	中統	1260	1263
元	至元	1264	1294
南宋	咸淳	1265	1274
南宋	德祐	1275	1276
南宋	景炎	1276	1277
南宋	祥興	1278	1279
元	元貞	1295	1297
元	大德	1297	1307
元	至大	1308	1311
元	皇慶	1312	1313
元	延祐	1314	1320
元	至治	1321	1323
元	泰定	1324	1328
元	致和	1328	1328
元	天曆	1328	1330
元	至順	1330	1333
元	元統	1333	1334
元	至元	1335	1340
元	至正	1341	1370
明	洪武	1368	1398
北元	宣光	1371	1378
北元	天光	1378	1387
明	建文	1399	1402
明	永樂	1403	1424
明	洪熙	1425	1425
明	宣德	1426	1435
明	正統	1436	1449
明	景泰	1450	1457
明	天順	1457	1464
明	成化	1465	1487
明	弘治	1488	1505
明	正德	1506	1521
明	嘉靖	1522	1566
明	隆慶	1567	1572
明	萬曆	1573	1620
清	天命	1616	1626
明	泰昌	1620	1620
明	天啟	1621	1627
清	天聰	1627	1635
明	崇禎	1628	1644
清	崇德	1636	1643
清	順治	1644	1661
南明	弘光	1644	1645
	大順	1644	1646
	永昌	1644	1645
南明	隆武	1645	1646
南明	紹武	1646	1646
南明	永曆	1647	1661
清	康熙	1662	1722
清	雍正	1723	1735
清	乾隆	1736	1795
清	嘉慶	1796	1820
